Domanda,Risposte
disclaimer,Accetto
annonascita,1998
sesso,F
regione,Veneto
cdl,LT
annocorso,2
nomecorso,storia
ateneo,venezia
anniuso,12
anniinternet,10
interesse,S
computerpersonale,S
os,Windows
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Lavoro,Svago
altroattivita,
sostituzionehardware,S
corsoit,S
ecdl,S
espertoliceo,N
espertouniversita,S
problemi,N
competenza,buona
elaborazioneinformazioni,avanzato
creazionecontenuti,medio
comunicazione,avanzato
risoluzioneproblemi,base
sicurezza,medio
file_rar,archivio compresso
creazione_pdf,salvo da word
markup,wordpress,javascript,html,excel,jpeg,linux
hardware,hard disk,stampante,supporti SSD,cavo hdmi
duckduckgo,motorericerca
siti_affidabili,treccani
https,googlemail,unicredit
allinurl,Non so
social_network,opzioni privacy
password,cambio password
phishing,controllo indirizzo
google,siti
inviocartella,google drive
collaborazione,google docs,wordpress
spyware,antimalware

