Domanda,Risposte
disclaimer,Accetto
annonascita,1999
sesso,F
regione,Lombardia
cdl,LT
annocorso,1
nomecorso,lettere moderne
ateneo,milano 
anniuso,2
anniinternet,7
interesse,N
computerpersonale,N
os,nocomputer
altroos,
dispositivo,Smartphone
altrodispositivo,
attivita,Studio,Lavoro,Svago,Comunicazione
altroattivita,
sostituzionehardware,N
corsoit,N
ecdl,N
espertoliceo,N
espertouniversita,N
problemi,N
competenza,insufficiente
elaborazioneinformazioni,base
creazionecontenuti,base
comunicazione,base
risoluzioneproblemi,nessuno
sicurezza,base
file_rar,Non so
creazione_pdf,salvo da word
markup,Non so
hardware,Non so
duckduckgo,Non so
siti_affidabili,ansa,corrieredellasera,retenews24,treccani
https,unicredit
allinurl,Non so
social_network,opzioni privacy
password,stessa password
phishing,Non so
google,Non so
inviocartella,google drive
collaborazione,Non so
spyware,antimalware

