Domanda,Risposte
disclaimer,Accetto
annonascita,1997
sesso,F
regione,Emilia Romagna
cdl,LT
annocorso,3
nomecorso,lettere
ateneo,bologna
anniuso,15
anniinternet,11
interesse,N
computerpersonale,S
os,Windows
altroos,
dispositivo,Smartphone
altrodispositivo,
attivita,Studio,Svago,Comunicazione
altroattivita,
sostituzionehardware,N
corsoit,S
ecdl,N
espertoliceo,S
espertouniversita,N
problemi,S
competenza,sufficiente
elaborazioneinformazioni,medio
creazionecontenuti,base
comunicazione,base
sicurezza,medio

