Domanda,Risposte
disclaimer,
annonascita,1995
sesso,F
regione,Campania
cdl,LM
annocorso,2
nomecorso,filologia moderna
ateneo,napoli
anniuso,13
anniinternet,10
interesse,N
computerpersonale,S
os,Windows
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Svago
altroattivita,
sostituzionehardware,N
corsoit,N
ecdl,S
espertoliceo,S
espertouniversita,S
problemi,S
competenza,buona
elaborazioneinformazioni,nessuno
creazionecontenuti,nessuno
comunicazione,avanzato
risoluzioneproblemi,nessuno
sicurezza,medio
file_rar,archivio compresso
creazione_pdf,salvo da word
markup,Non so
hardware,sistema operativo
duckduckgo,Non so
siti_affidabili,treccani
https,units
allinurl,Non so
social_network,rimozione definitiva
password,nessuna
phishing,Non so
google,siti
inviocartella,google drive
collaborazione,google docs
spyware,tecnico

