Domanda,Risposte
disclaimer,Accetto
annonascita,1999
sesso,F
regione,Basilicata
cdl,LT
annocorso,1
nomecorso,comunicazione interlinguistica applicata
ateneo,trieste
anniuso,8
anniinternet,8
interesse,N
computerpersonale,S
os,MacOS
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Svago,Comunicazione
altroattivita,
sostituzionehardware,N
corsoit,N
ecdl,N
espertoliceo,N
espertouniversita,N
problemi,S
competenza,insufficiente
elaborazioneinformazioni,base
creazionecontenuti,base
comunicazione,nessuno
risoluzioneproblemi,base
sicurezza,base
file_rar,archivio compresso
creazione_pdf,Adobe Reader
markup,Non so
hardware,cavo hdmi
duckduckgo,Non so
siti_affidabili,treccani
https,units,unicredit
allinurl,Non so
social_network,tutto pubblico
password,cambio password,scrivo le password
phishing,apro link
google,siti
inviocartella,Non so
collaborazione,google docs
spyware,antimalware

