Domanda,Risposte
disclaimer,Accetto
annonascita,1989
sesso,F
regione,Sicilia
cdl,LT
annocorso,F
nomecorso,lettere moderne
ateneo,palermo
anniuso,13
anniinternet,11
interesse,N
computerpersonale,S
os,Windows
altroos,
dispositivo,Smartphone
altrodispositivo,
attivita,Studio,Svago,Comunicazione
altroattivita,
sostituzionehardware,N
corsoit,S
ecdl,N
espertoliceo,N
espertouniversita,N
problemi,N
competenza,scarsa
elaborazioneinformazioni,medio
creazionecontenuti,base
comunicazione,tutto
risoluzioneproblemi,base
sicurezza,base
file_rar,archivio compresso
creazione_pdf,ocr
markup,Non so
hardware,hard disk
duckduckgo,Non so
siti_affidabili,ansa,corrieredellasera,retenews24,treccani
https,googlemail,unicredit
allinurl,Non so
social_network,opzioni privacy
password,scrivo le password
phishing,cestino
google,tutto,siti
inviocartella,google drive
collaborazione,Non so
spyware,google,Non so

