Domanda,Risposte
disclaimer,Accetto
annonascita,1984
sesso,F
regione,Toscana
cdl,LM
annocorso,2
nomecorso,storia e società
ateneo,cagliari
anniuso,20
anniinternet,20
interesse,S
computerpersonale,S
os,Windows
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Lavoro,Svago,Comunicazione
altroattivita,
sostituzionehardware,S
corsoit,S
ecdl,N
espertoliceo,S
espertouniversita,S
problemi,S
competenza,ottima
elaborazioneinformazioni,tutto
creazionecontenuti,medio
comunicazione,tutto
risoluzioneproblemi,medio
sicurezza,tutto
file_rar,archivio compresso
creazione_pdf,salvo da word,Adobe Reader
markup,html,xml
hardware,hard disk,stampante,supporti SSD,cavo hdmi
duckduckgo,Non so
siti_affidabili,ansa,treccani
https,pornhub,musicagratis,unicredit
allinurl,restringe risultati
social_network,opzioni privacy
password,cambio password
phishing,cestino
google,siti
inviocartella,google drive
collaborazione,google docs
spyware,antimalware

