Domanda,Risposte
disclaimer,
annonascita,1983
sesso,M
regione,Lombardia
cdl,LM
annocorso,1
nomecorso,filosofia e storia delle scienze naturali
ateneo,bergamo
anniuso,25
anniinternet,18
interesse,N
computerpersonale,S
os,MacOS
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Lavoro,Svago,Comunicazione
altroattivita,
sostituzionehardware,N
corsoit,S
ecdl,S
espertoliceo,S
espertouniversita,S
problemi,S
competenza,buona
elaborazioneinformazioni,tutto
creazionecontenuti,tutto
comunicazione,tutto
risoluzioneproblemi,tutto
sicurezza,tutto
file_rar,archivio compresso
creazione_pdf,salvo da word
markup,Non so
hardware,Non so
duckduckgo,Non so
siti_affidabili,fattoquotidaino,facebook,ansa,wikipedia,corrieredellasera,retenews24,treccani
https,pornhub,musicagratis,unicredit
allinurl,Non so
social_network,opzioni privacy
password,nessuna
phishing,cestino
google,siti
inviocartella,google drive,ftp
collaborazione,google docs
spyware,altro browser,google

