Domanda,Risposte
disclaimer,Fra
annonascita,1979
sesso,F
regione,Lazio
cdl,LT
annocorso,3
nomecorso,filosofia
ateneo,roma tre
anniuso,25
anniinternet,18
interesse,S
computerpersonale,S
os,Windows
altroos,
dispositivo,Smartphone
altrodispositivo,
attivita,Studio,Lavoro,Svago,Comunicazione,Altro
altroattivita,Leggere
sostituzionehardware,S
corsoit,S
ecdl,N
espertoliceo,S
espertouniversita,S
problemi,S
competenza,buona
elaborazioneinformazioni,avanzato
creazionecontenuti,medio
comunicazione,avanzato
risoluzioneproblemi,medio
sicurezza,medio
file_rar,archivio compresso
creazione_pdf,salvo da word
markup,html,latex
hardware,hard disk,supporti SSD
duckduckgo,Non so
siti_affidabili,fattoquotidaino,ansa,corrieredellasera,treccani
https,googlemail,unicredit
allinurl,carattere jolly
social_network,opzioni privacy
password,nessuna
phishing,controllo indirizzo
google,siti
inviocartella,google drive,ftp
collaborazione,google docs
spyware,antimalware

