Domanda,Risposte
disclaimer,Accetto
annonascita,1992
sesso,F
regione,Lombardia
cdl,LM
annocorso,2
nomecorso,culture moderne comparate
ateneo,bergamo
anniuso,12
anniinternet,10
interesse,S
computerpersonale,S
os,Windows
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Svago,Comunicazione
altroattivita,
sostituzionehardware,N
corsoit,S
ecdl,N
espertoliceo,S
espertouniversita,N
problemi,S
competenza,buona
elaborazioneinformazioni,avanzato
creazionecontenuti,medio
comunicazione,avanzato
risoluzioneproblemi,medio
sicurezza,medio
file_rar,archivio compresso
creazione_pdf,salvo da word
markup,html,xml
hardware,stampante,cavo hdmi
duckduckgo,motorericerca
siti_affidabili,treccani
https,unicredit
allinurl,restringe risultati
social_network,opzioni privacy
password,cambio password
phishing,controllo indirizzo
google,siti
inviocartella,google drive
collaborazione,google docs,wordpress
spyware,antimalware

