Domanda,Risposte
disclaimer,Accetto
annonascita,1991
sesso,M
regione,Veneto
cdl,LM
annocorso,F
nomecorso,storia dal medioevo all'età contemporanea
ateneo,ca'foscari
anniuso,27
anniinternet,15
interesse,S
computerpersonale,S
os,Windows
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Lavoro,Svago,Comunicazione
altroattivita,
sostituzionehardware,N
corsoit,N
ecdl,N
espertoliceo,N
espertouniversita,N
problemi,S
competenza,buona
elaborazioneinformazioni,medio
creazionecontenuti,medio
comunicazione,medio
risoluzioneproblemi,medio
sicurezza,medio
file_rar,installer
creazione_pdf,salvo da word
markup,html,xml,latex
hardware,hard disk,supporti SSD
duckduckgo,motorericerca
siti_affidabili,ansa,treccani
https,units,googlemail,unicredit
allinurl,carattere jolly
social_network,tutto pubblico
password,cambio password,scrivo le password
phishing,cestino
google,tutto,siti
inviocartella,google drive
collaborazione,google docs
spyware,tecnico

