Domanda,Risposte
disclaimer,Accetto
annonascita,1991
sesso,F
regione,Emilia Romagna
cdl,LM
annocorso,1
nomecorso,master erasmus mundus crossways in cultural narratives
ateneo,bergamo
anniuso,15
anniinternet,15
interesse,S
computerpersonale,S
os,Windows
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Lavoro,Svago,Comunicazione
altroattivita,
sostituzionehardware,N
corsoit,N
ecdl,S
espertoliceo,S
espertouniversita,S
problemi,S
competenza,buona
elaborazioneinformazioni,avanzato
creazionecontenuti,medio
comunicazione,avanzato
risoluzioneproblemi,base
sicurezza,medio
file_rar,archivio compresso
creazione_pdf,salvo da word
markup,javascript,html,xml,latex
hardware,hard disk,stampante,supporti SSD,cavo hdmi
duckduckgo,Non so
siti_affidabili,ansa,corrieredellasera,retenews24,treccani
https,pornhub,musicagratis,unicredit
allinurl,Non so
social_network,opzioni privacy,rimozione definitiva
password,cambio password,scrivo le password
phishing,controllo indirizzo,cestino
google,tutto,siti,illegali
inviocartella,google drive
collaborazione,google docs
spyware,antimalware

