Domanda,Risposte
disclaimer,
annonascita,1992
sesso,F
regione,Puglia
cdl,LT
annocorso,F
nomecorso,lettere
ateneo,salento
anniuso,16
anniinternet,10
interesse,S
computerpersonale,S
os,Windows
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Svago,Comunicazione
altroattivita,
sostituzionehardware,S
corsoit,N
ecdl,N
espertoliceo,N
espertouniversita,S
problemi,S
competenza,buona
elaborazioneinformazioni,medio
creazionecontenuti,medio
comunicazione,avanzato
risoluzioneproblemi,medio
sicurezza,medio
file_rar,archivio compresso
creazione_pdf,Adobe Reader
markup,wordpress,excel
hardware,sistema operativo
duckduckgo,Non so
siti_affidabili,ansa,treccani
https,unicredit
allinurl,Non so
social_network,opzioni privacy
password,cambio password
phishing,controllo indirizzo
google,tutto
inviocartella,vari messaggi email,cd,google drive,pendrive e posta
collaborazione,wordpress
spyware,Non so

