Domanda,Risposte
disclaimer,
annonascita,1989
sesso,F
regione,Lazio
cdl,LM
annocorso,1
nomecorso,lettere moderne
ateneo,l'aquila
anniuso,10
anniinternet,8
interesse,N
computerpersonale,S
os,Windows
altroos,
dispositivo,Smartphone
altrodispositivo,
attivita,Studio,Svago
altroattivita,
sostituzionehardware,N
corsoit,N
ecdl,N
espertoliceo,N
espertouniversita,N
problemi,N
competenza,scarsa
elaborazioneinformazioni,base
creazionecontenuti,nessuno
comunicazione,medio
risoluzioneproblemi,base
sicurezza,medio
file_rar,archivio compresso
creazione_pdf,Adobe Reader
markup,Non so
hardware,hard disk,stampante,supporti SSD,cavo hdmi
duckduckgo,Non so
siti_affidabili,fattoquotidaino,ansa,corrieredellasera
https,units,unicredit
allinurl,Non so
social_network,opzioni privacy
password,cambio password
phishing,cestino
google,tutto,siti,non indicizzati,illegali
inviocartella,google drive,ftp
collaborazione,wordpress
spyware,antimalware

