Domanda,Risposte
disclaimer,accetto
annonascita,1963
sesso,M
regione,Lombardia
cdl,LT
annocorso,3
nomecorso,filosofia
ateneo,bergamo
anniuso,20
anniinternet,18
interesse,N
computerpersonale,S
os,Windows
altroos,
dispositivo,Fisso
altrodispositivo,
attivita,Studio,Lavoro,Svago,Comunicazione
altroattivita,
sostituzionehardware,S
corsoit,N
ecdl,N
espertoliceo,S
espertouniversita,S
problemi,S
competenza,buona
elaborazioneinformazioni,medio
creazionecontenuti,medio
comunicazione,medio
risoluzioneproblemi,base
sicurezza,medio
file_rar,archivio compresso
creazione_pdf,stampo e scansiono
markup,Non so
hardware,hard disk,stampante,supporti SSD,cavo hdmi
duckduckgo,motorericerca
siti_affidabili,ansa,treccani
https,unicredit
allinurl,restringe risultati
social_network,opzioni privacy
password,cambio password
phishing,cestino
google,siti
inviocartella,google drive
collaborazione,google docs
spyware,antimalware

