Domanda,Risposte
disclaimer,
annonascita,1992
sesso,F
regione,Puglia
cdl,LM
annocorso,2
nomecorso,traduzione tecnico-scientifica e interpretariato
ateneo,salento
anniuso,15
anniinternet,
interesse,N
computerpersonale,S
os,Windows
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Lavoro,Svago,Comunicazione
altroattivita,
sostituzionehardware,N
corsoit,S
ecdl,N
espertoliceo,S
espertouniversita,S
problemi,S
competenza,buona
elaborazioneinformazioni,medio
creazionecontenuti,medio
comunicazione,avanzato
risoluzioneproblemi,base
sicurezza,medio
file_rar,archivio compresso
creazione_pdf,salvo da word
markup,html,xml
hardware,hard disk,stampante,cavo hdmi
duckduckgo,Non so
siti_affidabili,ansa,corrieredellasera,retenews24,treccani
https,googlemail,unicredit
allinurl,restringe risultati
social_network,opzioni privacy
password,nessuna
phishing,controllo indirizzo
google,siti,illegali
inviocartella,google drive
collaborazione,via email,google docs,pendrive
spyware,Non so

