Domanda,Risposte
disclaimer,
annonascita,1992
sesso,F
regione,Abruzzo
cdl,LM
annocorso,1
nomecorso,studi letterari e culturali
ateneo,l'aquila
anniuso,15
anniinternet,11
interesse,N
computerpersonale,S
os,Windows
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Svago,Comunicazione
altroattivita,
sostituzionehardware,N
corsoit,N
ecdl,N
espertoliceo,S
espertouniversita,N
problemi,N
competenza,sufficiente
elaborazioneinformazioni,base
creazionecontenuti,base
comunicazione,base
risoluzioneproblemi,base
sicurezza,base
file_rar,Non so
creazione_pdf,salvo da word
markup,Non so
hardware,Non so
duckduckgo,Non so
siti_affidabili,ansa,treccani
https,googlemail,unicredit
allinurl,Non so
social_network,Non so
password,scrivo le password
phishing,Non so
google,siti
inviocartella,Non so
collaborazione,via email,pendrive
spyware,Non so

