Domanda,Risposte
disclaimer,
annonascita,1990
sesso,F
regione,Piemonte
cdl,LM
annocorso,2
nomecorso,scienze della musica e dello spettacolo
ateneo,milano
anniuso,10
anniinternet,10
interesse,S
computerpersonale,S
os,Windows
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Lavoro
altroattivita,
sostituzionehardware,S
corsoit,N
ecdl,N
espertoliceo,N
espertouniversita,S
problemi,S
competenza,buona
elaborazioneinformazioni,base
creazionecontenuti,medio
comunicazione,avanzato
risoluzioneproblemi,medio
sicurezza,medio
file_rar,archivio compresso
creazione_pdf,salvo da word
markup,javascript,xml,latex
hardware,Non so
duckduckgo,Non so
siti_affidabili,ansa,corrieredellasera,retenews24,treccani
https,unicredit
allinurl,Non so
social_network,opzioni privacy
password,stessa password
phishing,controllo indirizzo
google,siti,non indicizzati
inviocartella,google drive
collaborazione,google docs
spyware,antimalware

