Domanda,Risposte
disclaimer,
annonascita,1990
sesso,F
regione,Piemonte
cdl,LM
annocorso,1
nomecorso,lingue culture e turismo
ateneo,vercelli "a. avogadro"
anniuso,20
anniinternet,17
interesse,N
computerpersonale,N
os,Windows
altroos,
dispositivo,Smartphone
altrodispositivo,
attivita,Altro
altroattivita,Utilizzo principalmente i vari dispositivi per studio, lavoro e mantenimento dei contatti con le persone conosciute nei viaggi all'estero.
sostituzionehardware,S
corsoit,N
ecdl,N
espertoliceo,S
espertouniversita,N
problemi,S
competenza,buona
elaborazioneinformazioni,medio
creazionecontenuti,nessuno
comunicazione,base
risoluzioneproblemi,base
sicurezza,medio
file_rar,Non so
creazione_pdf,Adobe Reader
markup,Non so
hardware,hard disk,supporti SSD
duckduckgo,virus
siti_affidabili,ansa,corrieredellasera,retenews24,treccani
https,unicredit
allinurl,Non so
social_network,Non so
password,cambio password,scrivo le password
phishing,controllo indirizzo
google,tutto,siti,non indicizzati
inviocartella,google drive
collaborazione,google docs
spyware,antimalware

