Domanda,Risposte
disclaimer,
annonascita,
sesso,F
regione,Sicilia
cdl,LT
annocorso,2
nomecorso,studi filosofici e storici
ateneo,palermo
anniuso,12
anniinternet,10
interesse,N
computerpersonale,S
os,Windows
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Lavoro,Svago
altroattivita,
sostituzionehardware,N
corsoit,N
ecdl,N
espertoliceo,S
espertouniversita,S
problemi,S
competenza,buona
elaborazioneinformazioni,medio
creazionecontenuti,base
comunicazione,avanzato
risoluzioneproblemi,medio
sicurezza,base
file_rar,word
creazione_pdf,Adobe Reader
markup,Non so
hardware,hard disk,supporti SSD
duckduckgo,motorericerca
siti_affidabili,ansa,corrieredellasera,treccani
https,units,googlemail,unicredit
allinurl,Non so
social_network,opzioni privacy
password,stessa password
phishing,cestino
google,tutto
inviocartella,vari messaggi email
collaborazione,via email
spyware,tecnico

