Domanda,Risposte
disclaimer,
annonascita,1992
sesso,F
regione,Abruzzo
cdl,LM
annocorso,2
nomecorso,psicologia dei gruppi
ateneo,chieti
anniuso,16
anniinternet,10
interesse,N
computerpersonale,S
os,Windows
altroos,
dispositivo,Smartphone
altrodispositivo,
attivita,Studio,Svago
altroattivita,
sostituzionehardware,N
corsoit,S
ecdl,N
espertoliceo,N
espertouniversita,N
problemi,S
competenza,buona
elaborazioneinformazioni,medio
creazionecontenuti,medio
comunicazione,medio
risoluzioneproblemi,medio
sicurezza,medio
file_rar,Non so
creazione_pdf,stampo e scansiono
markup,Non so
hardware,Non so
duckduckgo,Non so
siti_affidabili,ansa,wikipedia,corrieredellasera,treccani
https,googlemail
allinurl,Non so
social_network,opzioni privacy,rimozione definitiva
password,stessa password
phishing,controllo indirizzo,cestino
google,tutto,siti
inviocartella,google drive
collaborazione,via email,pendrive
spyware,Non so

