Domanda,Risposte
disclaimer,
annonascita,1992
sesso,F
regione,Calabria
cdl,LT
annocorso,F
nomecorso,lettere
ateneo,bologna
anniuso,8
anniinternet,8
interesse,S
computerpersonale,S
os,Windows
altroos,
dispositivo,Smartphone
altrodispositivo,
attivita,Svago
altroattivita,
sostituzionehardware,N
corsoit,S
ecdl,N
espertoliceo,S
espertouniversita,N
problemi,S
competenza,buona
elaborazioneinformazioni,base
creazionecontenuti,avanzato
comunicazione,base
risoluzioneproblemi,avanzato
sicurezza,medio
file_rar,Non so
creazione_pdf,Adobe Reader
markup,html
hardware,hard disk
duckduckgo,Non so
siti_affidabili,ansa
https,unicredit
allinurl,Non so
social_network,opzioni privacy
password,stessa password
phishing,apro link
google,siti
inviocartella,Non so
collaborazione,via email
spyware,tecnico

