Domanda,Risposte
disclaimer,
annonascita,1998
sesso,F
regione,Marche
cdl,LT
annocorso,1
nomecorso,lettere moderne
ateneo,macerata
anniuso,14
anniinternet,11
interesse,N
computerpersonale,S
os,Windows
altroos,
dispositivo,Smartphone
altrodispositivo,
attivita,Studio,Svago,Comunicazione
altroattivita,
sostituzionehardware,N
corsoit,N
ecdl,N
espertoliceo,S
espertouniversita,S
problemi,N
competenza,sufficiente
elaborazioneinformazioni,medio
creazionecontenuti,base
comunicazione,medio
risoluzioneproblemi,base
sicurezza,base
file_rar,archivio compresso
creazione_pdf,stampo e scansiono,ocr
markup,wordpress,html,xml,excel,jpeg
hardware,hard disk,sistema operativo,supporti SSD,indirizzo IP
duckduckgo,Non so
siti_affidabili,ansa,corrieredellasera,treccani
https,units,googlemail,unicredit
allinurl,Non so
social_network,opzioni privacy
password,stessa password
phishing,controllo indirizzo,rispondo
google,siti
inviocartella,google drive
collaborazione,google docs
spyware,antimalware,google

