Domanda,Risposte
disclaimer,
annonascita,1998
sesso,F
regione,Friuli Venezia Giulia
cdl,LT
annocorso,2
nomecorso,comunicazione interlinguistica applicata
ateneo,trieste
anniuso,10
anniinternet,8
interesse,N
computerpersonale,S
os,Windows
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Comunicazione
altroattivita,
sostituzionehardware,N
corsoit,S
ecdl,N
espertoliceo,S
espertouniversita,S
problemi,N
competenza,scarsa
elaborazioneinformazioni,base
creazionecontenuti,base
comunicazione,base
risoluzioneproblemi,base
sicurezza,base
file_rar,Non so
creazione_pdf,salvo da word
markup,Non so
hardware,Non so
duckduckgo,Non so
siti_affidabili,fattoquotidaino,ansa,corrieredellasera,retenews24,treccani
https,googlemail,unicredit
allinurl,restringe risultati
social_network,opzioni privacy
password,scrivo le password
phishing,apro link
google,siti,non indicizzati
inviocartella,google drive
collaborazione,google docs
spyware,Non so
file_rar,Non so
creazione_pdf,salvo da word
markup,Non so
hardware,Non so
duckduckgo,Non so
siti_affidabili,fattoquotidaino,ansa,corrieredellasera,retenews24,treccani
https,googlemail,unicredit
allinurl,restringe risultati
social_network,opzioni privacy
password,scrivo le password
phishing,apro link
google,siti,non indicizzati
inviocartella,google drive
collaborazione,google docs
spyware,Non so

