Domanda,Risposte
disclaimer,Accetto
annonascita,1997
sesso,F
regione,Piemonte
cdl,LT
annocorso,3
nomecorso,lingue straniere moderne
ateneo,vercelli
anniuso,15
anniinternet,11
interesse,N
computerpersonale,S
os,Windows
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio
altroattivita,
sostituzionehardware,S
corsoit,N
ecdl,N
espertoliceo,N
espertouniversita,N
problemi,N
competenza,insufficiente
elaborazioneinformazioni,base
creazionecontenuti,base
comunicazione,base
risoluzioneproblemi,base
sicurezza,base
file_rar,Non so
creazione_pdf,Adobe Reader
markup,Non so
hardware,hard disk
duckduckgo,Non so
siti_affidabili,fattoquotidaino,ansa,corrieredellasera,retenews24,treccani
https,unicredit
allinurl,Non so
social_network,opzioni privacy
password,scrivo le password
phishing,controllo indirizzo
google,siti
inviocartella,google drive
collaborazione,google docs
spyware,antimalware

