Domanda,Risposte
disclaimer,
annonascita,1999
sesso,F
regione,Piemonte
cdl,LT
annocorso,1
nomecorso,lettere moderne
ateneo,pavia
anniuso,13
anniinternet,13
interesse,S
computerpersonale,S
os,Windows
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Svago
altroattivita,
sostituzionehardware,N
corsoit,S
ecdl,S
espertoliceo,N
espertouniversita,N
problemi,S
competenza,buona
elaborazioneinformazioni,tutto
creazionecontenuti,base
comunicazione,base
risoluzioneproblemi,medio
sicurezza,base
file_rar,Non so
creazione_pdf,salvo da word,Adobe Reader
markup,wordpress,javascript,html
hardware,hard disk,stampante,supporti SSD,cavo hdmi
duckduckgo,Non so
siti_affidabili,fattoquotidaino,corrieredellasera,retenews24,treccani
https,units,unicredit
allinurl,dark web
social_network,tutto pubblico
password,scrivo le password
phishing,controllo indirizzo
google,tutto,non indicizzati,illegali
inviocartella,google drive
collaborazione,google docs
spyware,Non so

