Domanda,Risposte
disclaimer,
annonascita,1998
sesso,M
regione,Lazio
cdl,LT
annocorso,2
nomecorso,beni culturali
ateneo,tor vergata
anniuso,10
anniinternet,7
interesse,N
computerpersonale,S
os,Windows
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Svago
altroattivita,
sostituzionehardware,N
corsoit,N
ecdl,N
espertoliceo,N
espertouniversita,N
problemi,N
competenza,scarsa
elaborazioneinformazioni,base
creazionecontenuti,base
comunicazione,medio
risoluzioneproblemi,base
sicurezza,base
file_rar,Non so
creazione_pdf,Adobe Reader
markup,Non so
hardware,Non so
duckduckgo,Non so
siti_affidabili,ansa,corrieredellasera,treccani
https,pornhub,googlemail,unicredit
allinurl,Non so
social_network,opzioni privacy
password,stessa password
phishing,Non so
google,siti
inviocartella,Non so
collaborazione,google docs,pendrive
spyware,antimalware

