Domanda,Risposte
disclaimer,Accetto
annonascita,1997
sesso,F
regione,Friuli Venezia Giulia
cdl,LT
annocorso,2
nomecorso,comunicazione interlinguistica applicata
ateneo,trieste
anniuso,20
anniinternet,11
interesse,S
computerpersonale,S
os,Windows
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Svago,Altro
altroattivita,Organizzazione
sostituzionehardware,N
corsoit,S
ecdl,N
espertoliceo,S
espertouniversita,S
problemi,S
competenza,sufficiente
elaborazioneinformazioni,medio
creazionecontenuti,base
comunicazione,base
risoluzioneproblemi,base
sicurezza,base
file_rar,archivio compresso
creazione_pdf,salvo da word
markup,html,xml,excel,jpeg
hardware,hard disk,stampante,supporti SSD,cavo hdmi
duckduckgo,motorericerca
siti_affidabili,fattoquotidaino,ansa,corrieredellasera,treccani
https,units,googlemail,unicredit
allinurl,restringe risultati
social_network,tutto pubblico,opzioni privacy
password,nessuna
phishing,controllo indirizzo
google,siti
inviocartella,google drive
collaborazione,google docs
spyware,google

