Domanda,Risposte
disclaimer,
annonascita,1997
sesso,F
regione,Abruzzo
cdl,LT
annocorso,3
nomecorso,beni culturali e turismo
ateneo,macerata
anniuso,12
anniinternet,9
interesse,S
computerpersonale,S
os,Windows
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Svago,Comunicazione
altroattivita,
sostituzionehardware,N
corsoit,N
ecdl,N
espertoliceo,S
espertouniversita,N
problemi,S
competenza,buona
elaborazioneinformazioni,medio
creazionecontenuti,base
comunicazione,base
risoluzioneproblemi,base
sicurezza,medio

