Domanda,Risposte
disclaimer,
annonascita,1993
sesso,F
regione,Toscana
cdl,LT
annocorso,F
nomecorso,scienze dei beni culturali
ateneo,pisa
anniuso,12
anniinternet,10
interesse,N
computerpersonale,S
os,Windows
altroos,
dispositivo,Smartphone
altrodispositivo,
attivita,Studio,Lavoro,Svago,Comunicazione
altroattivita,
sostituzionehardware,N
corsoit,S
ecdl,N
espertoliceo,S
espertouniversita,N
problemi,S
competenza,scarsa
elaborazioneinformazioni,medio
creazionecontenuti,base
comunicazione,medio
risoluzioneproblemi,base
sicurezza,base
file_rar,archivio compresso
creazione_pdf,Adobe Reader
markup,wordpress,xml
hardware,sistema operativo
duckduckgo,Non so
siti_affidabili,fattoquotidaino,treccani
https,googlemail
allinurl,Non so
social_network,opzioni privacy
password,stessa password
phishing,cestino
google,siti
inviocartella,google drive
collaborazione,google docs
spyware,antimalware

