Domanda,Risposte
disclaimer,
annonascita,1993
sesso,F
regione,Veneto
cdl,LM
annocorso,2
nomecorso,lingue e letterature europee e americane
ateneo,padova
anniuso,11
anniinternet,11
interesse,N
computerpersonale,S
os,Windows
altroos,
dispositivo,Smartphone
altrodispositivo,
attivita,Studio,Svago
altroattivita,
sostituzionehardware,N
corsoit,N
ecdl,N
espertoliceo,S
espertouniversita,S
problemi,S
competenza,buona
elaborazioneinformazioni,base
creazionecontenuti,avanzato
comunicazione,medio
risoluzioneproblemi,medio
sicurezza,medio
file_rar,Non so
creazione_pdf,salvo da word
markup,Non so
hardware,Non so
duckduckgo,motorericerca
siti_affidabili,ansa,corrieredellasera,treccani
https,googlemail
allinurl,Non so
social_network,opzioni privacy
password,cambio password
phishing,controllo indirizzo
google,tutto
inviocartella,google drive
collaborazione,google docs
spyware,antimalware

