Domanda,Risposte
disclaimer,
annonascita,1998
sesso,F
regione,Friuli Venezia Giulia
cdl,LT
annocorso,2
nomecorso,beni culturali
ateneo,udine
anniuso,10
anniinternet,10
interesse,N
computerpersonale,S
os,Windows
altroos,
dispositivo,Smartphone
altrodispositivo,
attivita,Studio,Svago,Comunicazione
altroattivita,
sostituzionehardware,N
corsoit,N
ecdl,N
espertoliceo,S
espertouniversita,S
problemi,N
competenza,sufficiente
elaborazioneinformazioni,medio
creazionecontenuti,base
comunicazione,medio
risoluzioneproblemi,base
sicurezza,medio
file_rar,archivio compresso
creazione_pdf,ocr
markup,Non so
hardware,Non so
duckduckgo,Non so
siti_affidabili,ansa,treccani
https,unicredit
allinurl,Non so
social_network,opzioni privacy
password,nessuna
phishing,controllo indirizzo
google,siti
inviocartella,google drive
collaborazione,google docs
spyware,antimalware

