Domanda,Risposte
disclaimer,
annonascita,1993
sesso,F
regione,Emilia Romagna
cdl,LT
annocorso,F
nomecorso,lettere
ateneo,bologna
anniuso,23
anniinternet,15
interesse,S
computerpersonale,S
os,Windows
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Svago,Comunicazione
altroattivita,
sostituzionehardware,S
corsoit,N
ecdl,N
espertoliceo,S
espertouniversita,S
problemi,S
competenza,buona
elaborazioneinformazioni,medio
creazionecontenuti,avanzato
comunicazione,base
risoluzioneproblemi,medio
sicurezza,base
file_rar,archivio compresso
creazione_pdf,ocr,salvo da word
markup,html,xml
hardware,hard disk,stampante,supporti SSD,cavo hdmi
duckduckgo,Non so
siti_affidabili,ansa,corrieredellasera,treccani
https,pornhub,musicagratis,unicredit
allinurl,Non so
social_network,opzioni privacy,rimozione definitiva
password,stessa password
phishing,cestino
google,siti
inviocartella,google drive
collaborazione,google docs
spyware,antimalware

