Domanda,Risposte
disclaimer,Accetto
annonascita,1999
sesso,F
regione,Sicilia
cdl,LT
annocorso,1
nomecorso,comunicazione interlinguistica applicata alle professioni giudiche
ateneo,trieste
anniuso,13
anniinternet,11
interesse,N
computerpersonale,S
os,Windows
altroos,
dispositivo,Smartphone
altrodispositivo,
attivita,Studio,Svago,Comunicazione,Altro
altroattivita,Shopping
sostituzionehardware,S
corsoit,N
ecdl,N
espertoliceo,S
espertouniversita,S
problemi,S
competenza,buona
elaborazioneinformazioni,medio
creazionecontenuti,base
comunicazione,medio
risoluzioneproblemi,base
sicurezza,base
file_rar,archivio compresso
creazione_pdf,ocr
markup,Non so
hardware,Non so
duckduckgo,Non so
siti_affidabili,ansa,corrieredellasera,retenews24,treccani
https,units,googlemail
allinurl,Non so
social_network,opzioni privacy,rimozione definitiva
password,stessa password,scrivo le password
phishing,cestino
google,siti
inviocartella,google drive
collaborazione,google docs
spyware,antimalware

