Domanda,Risposte
disclaimer,Accetto
annonascita,1999
sesso,F
regione,Veneto
cdl,LT
annocorso,1
nomecorso,scienze del testo e della comunicazione letteraria
ateneo,venezia
anniuso,7
anniinternet,7
interesse,N
computerpersonale,S
os,Windows
altroos,
dispositivo,Smartphone
altrodispositivo,
attivita,Studio,Svago,Comunicazione
altroattivita,
sostituzionehardware,N
corsoit,N
ecdl,N
espertoliceo,S
espertouniversita,S
problemi,S
competenza,scarsa
elaborazioneinformazioni,avanzato
creazionecontenuti,medio
comunicazione,avanzato
risoluzioneproblemi,medio
sicurezza,medio
file_rar,archivio compresso
creazione_pdf,ocr
markup,Non so
hardware,hard disk,stampante,cavo hdmi
duckduckgo,Non so
siti_affidabili,ansa,corrieredellasera,retenews24,treccani
https,units,googlemail,unicredit
allinurl,Non so
social_network,opzioni privacy
password,stessa password
phishing,controllo indirizzo
google,siti
inviocartella,google drive
collaborazione,google docs
spyware,antimalware

