Domanda,Risposte
disclaimer,
annonascita,1997
sesso,F
regione,Veneto
cdl,LT
annocorso,3
nomecorso,lettere classiche
ateneo,udine
anniuso,13
anniinternet,10
interesse,S
computerpersonale,S
os,Windows
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio
altroattivita,
sostituzionehardware,N
corsoit,S
ecdl,N
espertoliceo,S
espertouniversita,N
problemi,S
competenza,buona
elaborazioneinformazioni,medio
creazionecontenuti,medio
comunicazione,medio
risoluzioneproblemi,medio
sicurezza,medio
file_rar,Non so
creazione_pdf,salvo da word
markup,Non so
hardware,hard disk
duckduckgo,Non so
siti_affidabili,ansa,retenews24,treccani
https,units,unicredit
allinurl,Non so
social_network,opzioni privacy
password,cambio password,scrivo le password
phishing,controllo indirizzo,apro link
google,tutto,siti
inviocartella,google drive
collaborazione,google docs
spyware,google

