Domanda,Risposte
disclaimer,Accetto
annonascita,1998
sesso,F
regione,Liguria
cdl,LT
annocorso,2
nomecorso,comunicazione interlinguistica applicata alle professioni giuridiche
ateneo,trieste
anniuso,10
anniinternet,10
interesse,N
computerpersonale,S
os,MacOS
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Svago,Comunicazione
altroattivita,
sostituzionehardware,N
corsoit,N
ecdl,N
espertoliceo,S
espertouniversita,N
problemi,N
competenza,sufficiente
elaborazioneinformazioni,medio
creazionecontenuti,base
comunicazione,base
risoluzioneproblemi,base
sicurezza,base
file_rar,archivio compresso
creazione_pdf,stampo e scansiono,salvo da word
markup,Non so
hardware,hard disk,stampante,supporti SSD,cavo hdmi
duckduckgo,Non so
siti_affidabili,fattoquotidaino,wikipedia,corrieredellasera,treccani
https,units,googlemail,unicredit
allinurl,Non so
social_network,opzioni privacy
password,stessa password
phishing,apro link
google,siti
inviocartella,google drive
collaborazione,google docs
spyware,antimalware

