Domanda,Risposte
disclaimer,
annonascita,1991
sesso,F
regione,Liguria
cdl,LM
annocorso,1
nomecorso,filologia moderna
ateneo,miano
anniuso,20
anniinternet,14
interesse,N
computerpersonale,S
os,Windows
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Comunicazione
altroattivita,
sostituzionehardware,N
corsoit,N
ecdl,N
espertoliceo,S
espertouniversita,S
problemi,S
competenza,sufficiente
elaborazioneinformazioni,avanzato
creazionecontenuti,base
comunicazione,avanzato
risoluzioneproblemi,medio
sicurezza,base
file_rar,archivio compresso
creazione_pdf,salvo da word
markup,Non so
hardware,Non so
duckduckgo,Non so
siti_affidabili,ansa,wikipedia,corrieredellasera,treccani
https,pornhub
allinurl,Non so
social_network,tutto privato
password,stessa password
phishing,cestino
google,tutto
inviocartella,google drive
collaborazione,via email
spyware,antimalware

