Domanda,Risposte
disclaimer,
annonascita,1998
sesso,F
regione,Friuli Venezia Giulia
cdl,LT
annocorso,2
nomecorso,comunicazione interlinguistica applicata alle professioni giuridiche
ateneo,trieste
anniuso,10
anniinternet,10
interesse,N
computerpersonale,S
os,Windows
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio
altroattivita,
sostituzionehardware,N
corsoit,N
ecdl,S
espertoliceo,S
espertouniversita,S
problemi,S
competenza,buona
elaborazioneinformazioni,base
creazionecontenuti,medio
comunicazione,base
risoluzioneproblemi,medio
sicurezza,medio
file_rar,archivio compresso
creazione_pdf,salvo da word
markup,html,xml,excel,jpeg
hardware,hard disk,sistema operativo
duckduckgo,Non so
siti_affidabili,ansa,corrieredellasera,treccani
https,pornhub,musicagratis,unicredit
allinurl,restringe risultati
social_network,opzioni privacy
password,cambio password,scrivo le password
phishing,controllo indirizzo
google,siti,illegali
inviocartella,google drive
collaborazione,via email,google docs
spyware,tecnico,antimalware

