Domanda,Risposte
disclaimer,
annonascita,1997
sesso,F
regione,Puglia
cdl,LT
annocorso,3
nomecorso,filosofia
ateneo,salento
anniuso,10
anniinternet,7
interesse,S
computerpersonale,S
os,Windows
altroos,
dispositivo,Smartphone
altrodispositivo,
attivita,Studio,Svago,Comunicazione
altroattivita,
sostituzionehardware,S
corsoit,N
ecdl,S
espertoliceo,S
espertouniversita,S
problemi,S
competenza,ottima
elaborazioneinformazioni,base
creazionecontenuti,medio
comunicazione,medio
risoluzioneproblemi,base
sicurezza,base
file_rar,archivio compresso
creazione_pdf,salvo da word
markup,Non so
hardware,hard disk
duckduckgo,p2p
siti_affidabili,fattoquotidaino,ansa,corrieredellasera,retenews24,treccani
https,googlemail
allinurl,non esiste
social_network,opzioni privacy
password,stessa password
phishing,controllo indirizzo
google,tutto
inviocartella,google drive
collaborazione,via email
spyware,antimalware

