Domanda,Risposte
disclaimer,Accetto
annonascita,1998
sesso,F
regione,Friuli Venezia Giulia
cdl,LT
annocorso,2
nomecorso,comunicazione interlinguistica applicata
ateneo,trieste
anniuso,10
anniinternet,8
interesse,N
computerpersonale,S
os,Windows
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Svago,Comunicazione
altroattivita,
sostituzionehardware,N
corsoit,S
ecdl,S
espertoliceo,S
espertouniversita,S
problemi,S
competenza,buona
elaborazioneinformazioni,avanzato
creazionecontenuti,medio
comunicazione,medio
risoluzioneproblemi,base
sicurezza,medio
file_rar,archivio compresso
creazione_pdf,salvo da word
markup,Non so
hardware,hard disk,stampante,cavo hdmi
duckduckgo,motorericerca
siti_affidabili,ansa,corrieredellasera,retenews24,treccani
https,pornhub,musicagratis,unicredit
allinurl,restringe risultati
social_network,opzioni privacy
password,scrivo le password
phishing,controllo indirizzo,cestino
google,siti,non indicizzati
inviocartella,google drive
collaborazione,via email,google docs
spyware,altro browser

