Domanda,Risposte
disclaimer,Accetto
annonascita,1997
sesso,M
regione,Veneto
cdl,LT
annocorso,1
nomecorso,filologia e letteratura italiana
ateneo,venezia
anniuso,10
anniinternet,7
interesse,S
computerpersonale,S
os,MacOS
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Svago,Comunicazione
altroattivita,
sostituzionehardware,S
corsoit,S
ecdl,S
espertoliceo,S
espertouniversita,S
problemi,S
competenza,buona
elaborazioneinformazioni,medio
creazionecontenuti,medio
comunicazione,avanzato
risoluzioneproblemi,base
sicurezza,medio
file_rar,archivio compresso
creazione_pdf,Adobe Reader
markup,xml
hardware,hard disk,supporti SSD,cavo hdmi
duckduckgo,motorericerca
siti_affidabili,fattoquotidaino,ansa,corrieredellasera,treccani
https,unicredit
allinurl,restringe risultati
social_network,opzioni privacy
password,cambio password
phishing,cestino
google,siti
inviocartella,google drive
collaborazione,via email,google docs
spyware,antimalware

