Domanda,Risposte
disclaimer,Accedi
annonascita,1995
sesso,M
regione,Puglia
cdl,LT
annocorso,3
nomecorso,lettere moderne
ateneo,urbino
anniuso,10
anniinternet,8
interesse,N
computerpersonale,S
os,Windows
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Lavoro,Comunicazione
altroattivita,
sostituzionehardware,S
corsoit,N
ecdl,N
espertoliceo,N
espertouniversita,N
problemi,N
competenza,sufficiente
elaborazioneinformazioni,base
creazionecontenuti,base
comunicazione,base
risoluzioneproblemi,base
sicurezza,medio
file_rar,archivio compresso
creazione_pdf,ocr
markup,Non so
hardware,hard disk
duckduckgo,Non so
siti_affidabili,ansa
https,googlemail
allinurl,carattere jolly
social_network,opzioni privacy
password,scrivo le password
phishing,controllo indirizzo
google,tutto
inviocartella,google drive
collaborazione,wordpress
spyware,antimalware

