Domanda,Risposte
disclaimer,Accetto 
annonascita,1999
sesso,F
regione,Emilia Romagna
cdl,LT
annocorso,1
nomecorso,mediazione linguistica interculturale
ateneo,bologna
anniuso,9
anniinternet,9
interesse,N
computerpersonale,S
os,MacOS
altroos,
dispositivo,Smartphone
altrodispositivo,
attivita,Studio,Svago,Comunicazione
altroattivita,
sostituzionehardware,S
corsoit,S
ecdl,N
espertoliceo,S
espertouniversita,S
problemi,S
competenza,buona
elaborazioneinformazioni,medio
creazionecontenuti,base
comunicazione,medio
risoluzioneproblemi,base
sicurezza,medio
file_rar,Non so
creazione_pdf,Non so
markup,Non so
hardware,Non so
duckduckgo,Non so
siti_affidabili,ansa,corrieredellasera,treccani
https,pornhub,units,unicredit
allinurl,Non so
social_network,opzioni privacy
password,nessuna
phishing,controllo indirizzo,cestino
google,siti
inviocartella,google drive
collaborazione,google docs
spyware,antimalware,altro browser,google

