Domanda,Risposte
disclaimer,Accetto
annonascita,1999
sesso,F
regione,Piemonte
cdl,LT
annocorso,1
nomecorso,lettere
ateneo,vercelli
anniuso,9
anniinternet,6
interesse,N
computerpersonale,S
os,Windows
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Svago
altroattivita,
sostituzionehardware,N
corsoit,N
ecdl,N
espertoliceo,S
espertouniversita,S
problemi,S
competenza,buona
elaborazioneinformazioni,medio
creazionecontenuti,base
comunicazione,medio
risoluzioneproblemi,base
sicurezza,medio
file_rar,installer
creazione_pdf,ocr
markup,javascript,html
hardware,sistema operativo,supporti SSD,cloud computing
duckduckgo,motorericerca
siti_affidabili,corrieredellasera,treccani
https,googlemail
allinurl,carattere jolly
social_network,tutto pubblico
password,cambio password
phishing,controllo indirizzo
google,siti
inviocartella,google drive
collaborazione,google docs
spyware,antimalware
file_rar,installer
creazione_pdf,ocr
markup,javascript,html
hardware,sistema operativo,supporti SSD,cloud computing
duckduckgo,motorericerca
siti_affidabili,corrieredellasera,treccani
https,googlemail
allinurl,carattere jolly
social_network,tutto pubblico
password,cambio password
phishing,controllo indirizzo
google,siti
inviocartella,google drive
collaborazione,google docs
spyware,tecnico,antimalware

