Domanda,Risposte
disclaimer,
annonascita,1999
sesso,F
regione,Piemonte
cdl,LT
annocorso,1
nomecorso,laurea triennale in lettere - patrimonio culturale
ateneo,vercelli
anniuso,13
anniinternet,5
interesse,S
computerpersonale,S
os,Windows
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Svago,Comunicazione
altroattivita,
sostituzionehardware,N
corsoit,N
ecdl,N
espertoliceo,S
espertouniversita,S
problemi,S
competenza,buona
elaborazioneinformazioni,medio
creazionecontenuti,base
comunicazione,medio
risoluzioneproblemi,medio
sicurezza,medio
creazione_pdf,salvo da word
markup,Non so
hardware,sistema operativo,supporti SSD
duckduckgo,Non so
siti_affidabili,corrieredellasera,retenews24,treccani
https,pornhub,googlemail,unicredit
allinurl,Non so
social_network,opzioni privacy
password,scrivo le password
phishing,Non so
google,siti
inviocartella,vari messaggi email,google drive
collaborazione,via email
spyware,google

