Domanda,Risposte
disclaimer,Accetto
annonascita,1999
sesso,M
regione,Campania
cdl,LT
annocorso,1
nomecorso,comunicazione interlinguistica applicata
ateneo,trieste
anniuso,11
anniinternet,10
interesse,S
computerpersonale,S
os,Windows
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Lavoro,Svago,Comunicazione
altroattivita,
sostituzionehardware,N
corsoit,N
ecdl,N
espertoliceo,S
espertouniversita,S
problemi,S
competenza,buona
elaborazioneinformazioni,avanzato
creazionecontenuti,base
comunicazione,avanzato
risoluzioneproblemi,medio
sicurezza,medio
file_rar,archivio compresso
creazione_pdf,salvo da word
markup,Non so
hardware,hard disk,stampante,supporti SSD,cavo hdmi
duckduckgo,Non so
siti_affidabili,ansa,wikipedia,corrieredellasera,retenews24,treccani
https,pornhub,musicagratis,unicredit
allinurl,Non so
social_network,opzioni privacy,rimozione definitiva
password,stessa password
phishing,controllo indirizzo,cestino
google,siti,non indicizzati,illegali
inviocartella,google drive
collaborazione,google docs
spyware,formatto

