Domanda,Risposte
disclaimer,Accetto
annonascita,1997
sesso,M
regione,Lombardia
cdl,LT
annocorso,3
nomecorso,comunicazione interlinguistica applicata
ateneo,trieste
anniuso,15
anniinternet,13
interesse,S
computerpersonale,S
os,Windows
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Svago,Comunicazione
altroattivita,
sostituzionehardware,N
corsoit,S
ecdl,N
espertoliceo,S
espertouniversita,N
problemi,S
competenza,buona
elaborazioneinformazioni,medio
creazionecontenuti,tutto
comunicazione,avanzato
risoluzioneproblemi,tutto
sicurezza,tutto
file_rar,archivio compresso
creazione_pdf,salvo da word
markup,javascript,xml,latex
hardware,hard disk,stampante,cavo hdmi
duckduckgo,Non so
siti_affidabili,ansa,treccani
https,pornhub,musicagratis,unicredit
allinurl,restringe risultati
social_network,opzioni privacy
password,scrivo le password
phishing,controllo indirizzo
google,siti
inviocartella,google drive
collaborazione,google docs
spyware,altro browser

