Domanda,Risposte
disclaimer,Accetto
annonascita,1999
sesso,F
regione,Lazio
cdl,LT
annocorso,1
nomecorso,comunicazione interlinguistica applicata
ateneo,trieste
anniuso,8
anniinternet,7
interesse,N
computerpersonale,S
os,Windows
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Svago,Comunicazione
altroattivita,
sostituzionehardware,N
corsoit,N
ecdl,S
espertoliceo,N
espertouniversita,N
problemi,N
competenza,insufficiente
elaborazioneinformazioni,base
creazionecontenuti,nessuno
comunicazione,base
risoluzioneproblemi,nessuno
sicurezza,base
file_rar,Non so
creazione_pdf,Adobe Reader
markup,Non so
hardware,Non so
duckduckgo,Non so
siti_affidabili,ansa
https,unicredit
allinurl,Non so
social_network,opzioni privacy
password,stessa password
phishing,apro link
google,siti
inviocartella,Non so
collaborazione,pendrive
spyware,Non so

