Domanda,Risposte
disclaimer,Accetto
annonascita,1996
sesso,F
regione,Lombardia
cdl,LT
annocorso,3
nomecorso,lettere moderne
ateneo,milano
anniuso,16
anniinternet,11
interesse,S
computerpersonale,S
os,Windows
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Lavoro,Svago
altroattivita,
sostituzionehardware,N
corsoit,S
ecdl,S
espertoliceo,S
espertouniversita,S
problemi,S
competenza,buona
elaborazioneinformazioni,avanzato
creazionecontenuti,medio
comunicazione,avanzato
risoluzioneproblemi,medio
sicurezza,medio
file_rar,archivio compresso
creazione_pdf,salvo da word
markup,Non so
hardware,hard disk,stampante,cavo hdmi
duckduckgo,Non so
siti_affidabili,ansa,wikipedia,corrieredellasera,treccani
https,unicredit
allinurl,Non so
social_network,opzioni privacy
password,cambio password
phishing,controllo indirizzo,cestino
google,tutto,siti,illegali
inviocartella,google drive
collaborazione,google docs,wordpress
spyware,antimalware

