Domanda,Risposte
disclaimer,
annonascita,1982
sesso,F
regione,Marche
cdl,LM
annocorso,2
nomecorso,magistrale in intepretazione
ateneo,bologna
anniuso,25
anniinternet,23
interesse,N
computerpersonale,S
os,Windows
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Lavoro,Comunicazione
altroattivita,
sostituzionehardware,N
corsoit,S
ecdl,N
espertoliceo,S
espertouniversita,N
problemi,S
competenza,buona
elaborazioneinformazioni,medio
creazionecontenuti,base
comunicazione,avanzato
risoluzioneproblemi,medio
sicurezza,medio
file_rar,Non so
creazione_pdf,Adobe Reader
markup,Non so
hardware,hard disk,stampante,supporti SSD,cavo hdmi
duckduckgo,Non so
siti_affidabili,ansa,corrieredellasera,treccani
https,unicredit
allinurl,Non so
social_network,opzioni privacy,rimozione definitiva
password,stessa password
phishing,cestino
google,siti
inviocartella,google drive
collaborazione,google docs
spyware,altro browser

