Domanda,Risposte
disclaimer,Accetto
annonascita,1997
sesso,F
regione,Calabria
cdl,LT
annocorso,3
nomecorso,lettere moderne
ateneo,bologna
anniuso,13
anniinternet,8
interesse,S
computerpersonale,S
os,Windows
altroos,
dispositivo,Smartphone
altrodispositivo,
attivita,Studio,Svago,Comunicazione
altroattivita,
sostituzionehardware,N
corsoit,S
ecdl,N
espertoliceo,S
espertouniversita,S
problemi,S
competenza,sufficiente
elaborazioneinformazioni,medio
creazionecontenuti,medio
comunicazione,medio
risoluzioneproblemi,medio
sicurezza,medio
creazione_pdf,Adobe Reader
markup,javascript,html,xml
hardware,sistema operativo
duckduckgo,motorericerca
siti_affidabili,wikipedia
https,unicredit
allinurl,carattere jolly
social_network,opzioni privacy,rimozione definitiva
password,cambio password
phishing,controllo indirizzo
google,siti
inviocartella,google drive
collaborazione,google docs
spyware,antimalware

