Domanda,Risposte
disclaimer,
annonascita,1992
sesso,A
regione,Toscana
cdl,LM
annocorso,1
nomecorso,traduzione specialistica e interpretazione
ateneo,trieste
anniuso,15
anniinternet,15
interesse,S
computerpersonale,S
os,Windows
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Svago,Comunicazione
altroattivita,
sostituzionehardware,S
corsoit,S
ecdl,N
espertoliceo,S
espertouniversita,S
problemi,S
competenza,buona
elaborazioneinformazioni,medio
creazionecontenuti,medio
comunicazione,medio
risoluzioneproblemi,base
sicurezza,medio
file_rar,archivio compresso
creazione_pdf,salvo da word
markup,Non so
hardware,Non so
duckduckgo,Non so
siti_affidabili,fattoquotidaino,ansa,corrieredellasera,treccani
https,Non so
allinurl,Non so
social_network,opzioni privacy
password,stessa password,cambio password,scrivo le password
phishing,controllo indirizzo
google,siti,non indicizzati
inviocartella,google drive
collaborazione,google docs
spyware,antimalware

