Domanda,Risposte
disclaimer,Accetto
annonascita,1995
sesso,F
regione,Veneto
cdl,LT
annocorso,1
nomecorso,comunicazione interlinguistica applicata
ateneo,trieste
anniuso,15
anniinternet,12
interesse,N
computerpersonale,S
os,Windows
altroos,
dispositivo,Smartphone
altrodispositivo,
attivita,Studio,Svago,Comunicazione
altroattivita,
sostituzionehardware,N
corsoit,N
ecdl,N
espertoliceo,S
espertouniversita,S
problemi,N
competenza,sufficiente
elaborazioneinformazioni,medio
creazionecontenuti,base
comunicazione,avanzato
risoluzioneproblemi,base
sicurezza,medio
file_rar,archivio compresso
creazione_pdf,salvo da word
markup,Non so
hardware,hard disk,stampante
duckduckgo,motorericerca
siti_affidabili,ansa,wikipedia,corrieredellasera,treccani
https,unicredit
allinurl,Non so
social_network,opzioni privacy
password,stessa password
phishing,cestino
google,siti
inviocartella,google drive
collaborazione,google docs
spyware,antimalware

