Domanda,Risposte
disclaimer,accetto
annonascita,1995
sesso,F
regione,Lombardia
cdl,LT
annocorso,3
nomecorso,scienze dei beni culturali
ateneo,milano
anniuso,16
anniinternet,14
interesse,N
computerpersonale,S
os,Windows
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Lavoro,Svago
altroattivita,
sostituzionehardware,N
corsoit,N
ecdl,N
espertoliceo,S
espertouniversita,S
problemi,S
competenza,scarsa
elaborazioneinformazioni,medio
creazionecontenuti,base
comunicazione,medio
risoluzioneproblemi,base
sicurezza,base
file_rar,archivio compresso
creazione_pdf,salvo da word
markup,Non so
hardware,hard disk
duckduckgo,Non so
siti_affidabili,ansa,treccani
https,unicredit
allinurl,Non so
social_network,tutto pubblico,opzioni privacy
password,scrivo le password
phishing,controllo indirizzo
google,tutto,siti,non indicizzati
inviocartella,vari messaggi email,google drive
collaborazione,google docs
spyware,google

