Domanda,Risposte
disclaimer,Accetto
annonascita,1997
sesso,F
regione,Friuli Venezia Giulia
cdl,LT
annocorso,3
nomecorso,conservazione dei beni culturali
ateneo,udine
anniuso,15
anniinternet,10
interesse,S
computerpersonale,S
os,Windows
altroos,
dispositivo,Smartphone
altrodispositivo,
attivita,Studio,Svago
altroattivita,
sostituzionehardware,N
corsoit,S
ecdl,N
espertoliceo,S
espertouniversita,S
problemi,S
competenza,buona
elaborazioneinformazioni,avanzato
creazionecontenuti,medio
comunicazione,medio
risoluzioneproblemi,base
sicurezza,medio
file_rar,immagine
creazione_pdf,ocr
markup,xml
hardware,hard disk,supporti SSD,cavo hdmi
duckduckgo,Non so
siti_affidabili,ansa,treccani
https,unicredit
allinurl,restringe risultati
social_network,opzioni privacy
password,nessuna
phishing,controllo indirizzo,rispondo
google,tutto,siti
inviocartella,google drive
collaborazione,via email,google docs
spyware,antimalware

