Domanda,Risposte
disclaimer,
annonascita,1990
sesso,F
regione,Friuli Venezia Giulia
cdl,LM
annocorso,3
nomecorso,traduzione specialistica e interpretazione
ateneo,trieste
anniuso,10
anniinternet,9
interesse,N
computerpersonale,S
os,Windows
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Lavoro,Svago
altroattivita,
sostituzionehardware,S
corsoit,N
ecdl,N
espertoliceo,S
espertouniversita,N
problemi,S
competenza,sufficiente
elaborazioneinformazioni,base
creazionecontenuti,base
comunicazione,medio
risoluzioneproblemi,nessuno
sicurezza,base
file_rar,archivio compresso
creazione_pdf,salvo da word
markup,Non so
hardware,sistema operativo
duckduckgo,ecommerce
siti_affidabili,ansa,corrieredellasera,treccani,Non so
https,units,unicredit
allinurl,Non so
social_network,opzioni privacy
password,cambio password,scrivo le password
phishing,cestino
google,tutto
inviocartella,google drive
collaborazione,google docs
spyware,antimalware

