Domanda,Risposte
disclaimer,
annonascita,1999
sesso,F
regione,Veneto
cdl,LT
annocorso,1
nomecorso,comunicazione interlinguistica applicata
ateneo,trieste
anniuso,10
anniinternet,10
interesse,N
computerpersonale,S
os,Windows
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Svago,Comunicazione
altroattivita,
sostituzionehardware,N
corsoit,N
ecdl,N
espertoliceo,S
espertouniversita,N
problemi,S
competenza,scarsa
elaborazioneinformazioni,avanzato
creazionecontenuti,base
comunicazione,medio
risoluzioneproblemi,medio
sicurezza,base
file_rar,Non so
creazione_pdf,salvo da word
markup,Non so
hardware,hard disk,stampante,supporti SSD,cavo hdmi
duckduckgo,Non so
siti_affidabili,fattoquotidaino,ansa,wikipedia,corrieredellasera,treccani
https,units,googlemail,unicredit
allinurl,Non so
social_network,opzioni privacy
password,cambio password,scrivo le password
phishing,controllo indirizzo,apro link
google,siti,non indicizzati,illegali
inviocartella,google drive
collaborazione,via email,google docs
spyware,antimalware

