Domanda,Risposte
disclaimer,
annonascita,1994
sesso,F
regione,Basilicata
cdl,LM
annocorso,1
nomecorso,scienze storiche e della documentazione storica
ateneo,bari
anniuso,13
anniinternet,10
interesse,N
computerpersonale,S
os,Windows
altroos,
dispositivo,Smartphone
altrodispositivo,
attivita,Studio,Lavoro,Comunicazione
altroattivita,
sostituzionehardware,N
corsoit,S
ecdl,N
espertoliceo,S
espertouniversita,S
problemi,S
competenza,buona
elaborazioneinformazioni,avanzato
creazionecontenuti,avanzato
comunicazione,avanzato
risoluzioneproblemi,base
sicurezza,base

