Domanda,Risposte
disclaimer,
annonascita,1992
sesso,F
regione,Emilia Romagna
cdl,LM
annocorso,F
nomecorso,traduzione specialistica
ateneo,bologna
anniuso,20
anniinternet,17
interesse,N
computerpersonale,S
os,Windows
altroos,
dispositivo,Smartphone
altrodispositivo,
attivita,Studio,Svago,Altro
altroattivita,social network
sostituzionehardware,N
corsoit,S
ecdl,N
espertoliceo,S
espertouniversita,S
problemi,S
competenza,buona
elaborazioneinformazioni,medio
creazionecontenuti,medio
comunicazione,medio
risoluzioneproblemi,medio
sicurezza,medio
file_rar,archivio compresso
creazione_pdf,salvo da word
markup,Non so
hardware,Non so
duckduckgo,Non so
siti_affidabili,ansa,corrieredellasera,treccani
https,pornhub,unicredit
allinurl,restringe risultati
social_network,opzioni privacy
password,stessa password,scrivo le password
phishing,controllo indirizzo,cestino
google,siti
inviocartella,google drive
collaborazione,google docs
spyware,antimalware

