Domanda,Risposte
disclaimer,
annonascita,1996
sesso,M
regione,Veneto
cdl,LT
annocorso,3
nomecorso,scienze dell'antichità
ateneo,venezia
anniuso,10
anniinternet,10
interesse,N
computerpersonale,S
os,MacOS
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Svago
altroattivita,
sostituzionehardware,N
corsoit,S
ecdl,N
espertoliceo,N
espertouniversita,S
problemi,S
competenza,scarsa
elaborazioneinformazioni,medio
creazionecontenuti,medio
comunicazione,avanzato
risoluzioneproblemi,medio
sicurezza,medio
file_rar,archivio compresso
creazione_pdf,salvo da word
markup,html,xml,latex
hardware,hard disk,stampante,supporti SSD,cavo hdmi
duckduckgo,Non so
siti_affidabili,ansa,corrieredellasera,treccani
https,units,googlemail,unicredit
allinurl,restringe risultati
social_network,opzioni privacy
password,cambio password
phishing,apro link
google,tutto,siti,non indicizzati
inviocartella,google drive
collaborazione,via email
spyware,google

