Domanda,Risposte
disclaimer,
annonascita,1999
sesso,F
regione,Veneto
cdl,LT
annocorso,1
nomecorso,lettere - scienze del testo letterario e della comunicazione
ateneo,venezia
anniuso,12
anniinternet,12
interesse,N
computerpersonale,N
os,Windows
altroos,
dispositivo,Smartphone
altrodispositivo,
attivita,Studio,Comunicazione
altroattivita,
sostituzionehardware,N
corsoit,N
ecdl,N
espertoliceo,N
espertouniversita,N
problemi,S
competenza,scarsa
elaborazioneinformazioni,medio
creazionecontenuti,base
comunicazione,medio
risoluzioneproblemi,medio
sicurezza,base
file_rar,Non so
creazione_pdf,stampo e scansiono,salvo da word
markup,Non so
hardware,hard disk,sistema operativo,supporti SSD
duckduckgo,Non so
siti_affidabili,ansa,treccani
https,unicredit
allinurl,Non so
social_network,opzioni privacy
password,stessa password,scrivo le password
phishing,controllo indirizzo
google,siti,non indicizzati,illegali
inviocartella,Non so
collaborazione,google docs
spyware,Non so

