Domanda,Risposte
disclaimer,
annonascita,1999
sesso,F
regione,Lazio
cdl,LT
annocorso,1
nomecorso,beni culturali 
ateneo,tor vergata
anniuso,2
anniinternet,6
interesse,N
computerpersonale,S
os,Windows
altroos,
dispositivo,Smartphone
altrodispositivo,
attivita,Studio
altroattivita,
sostituzionehardware,N
corsoit,N
ecdl,N
espertoliceo,N
espertouniversita,N
problemi,N
competenza,scarsa
elaborazioneinformazioni,base
creazionecontenuti,nessuno
comunicazione,nessuno
risoluzioneproblemi,nessuno
sicurezza,nessuno
file_rar,Non so
creazione_pdf,salvo da word
markup,Non so
hardware,Non so
duckduckgo,Non so
siti_affidabili,Non so
https,Non so
allinurl,Non so
social_network,opzioni privacy
password,scrivo le password
phishing,apro link
google,tutto
inviocartella,Non so
collaborazione,Non so
spyware,Non so

