Domanda,Risposte
disclaimer,Accetto
annonascita,1998
sesso,F
regione,Marche
cdl,LT
annocorso,2
nomecorso,lettere classiche
ateneo,macerata
anniuso,10
anniinternet,8
interesse,N
computerpersonale,S
os,Windows
altroos,Ma fino a poco tempo fa avevo un doppio sistema operativo: windows 7 e Ubuntu 
dispositivo,Smartphone
altrodispositivo,
attivita,Studio,Svago,Comunicazione
altroattivita,
sostituzionehardware,S
corsoit,N
ecdl,N
espertoliceo,S
espertouniversita,N
problemi,N
competenza,sufficiente
elaborazioneinformazioni,medio
creazionecontenuti,base
comunicazione,base
risoluzioneproblemi,base
sicurezza,medio
file_rar,immagine,Non so
creazione_pdf,salvo da word
markup,Non so
hardware,sistema operativo,supporti SSD
duckduckgo,Non so
siti_affidabili,ansa,corrieredellasera,treccani
https,googlemail,unicredit
allinurl,Non so
social_network,opzioni privacy,rimozione definitiva
password,stessa password,scrivo le password
phishing,controllo indirizzo,apro link
google,siti
inviocartella,google drive
collaborazione,via email,pendrive
spyware,tecnico,modalita provvisoria,google

